2023-10-07T18:54:21.737712~2023-10-07T19:10:40.184989~Hello~2023-10-07T19:18:59.931659
2023-10-07T19:03:10.653676~2023-10-07T19:10:40.184989~hi!~2023-10-07T19:19:29.205885
2023-10-08T00:13:21.487674~2023-10-07T19:11:19.532874~Hello~2023-10-10T00:07:00.187738
2023-10-07T18:29:40.853816~2023-10-07T19:11:19.532874~hi~2023-10-10T00:08:46.941257
2023-10-11T16:04:41.600500~*~Hello.~2023-10-12T00:13:07.544296
2023-10-11T16:04:41.600500~2023-10-11T20:38:16.321660500~Hello.~2023-10-12T00:19:38.926347500
2023-10-11T16:04:41.600500~2023-10-11T20:38:16.321660500~Welcome.~2023-10-12T00:32:10.989827900
2023-10-11T16:04:41.600500~2023-10-11T20:38:56.466200100~Welcome.~2023-10-12T00:32:17.082127100
2023-10-11T16:04:41.600500~2023-10-11T20:40:14.503893200~Welcome.~2023-10-12T00:48:13.486282
2023-10-11T16:04:41.600500~2023-10-11T20:44:26.679350600~Welcome.~2023-10-12T01:21:13.716729
2023-10-11T16:04:41.600500~2023-10-11T20:59:06.398219600~Welcome.~2023-10-12T01:21:16.766762300
2023-10-11T16:04:41.600500~2023-10-11T20:45:11.448560900~Welcome.~2023-10-12T01:43:26.307134700
2023-10-11T21:31:04.109270800~2023-10-11T20:38:56.466200100~Hello sir.~2023-10-12T02:01:42.506220300
2023-10-11T21:31:04.109270800~2023-10-11T20:43:38.663475100~Hello sir.~2023-10-12T02:02:57.155020400
2023-10-07T18:38:15.267806~2023-10-11T20:43:38.663475100~Hello sir.~2023-10-12T02:04:22.200226
2023-10-07T18:38:15.267806~2023-10-11T20:45:11.448560900~Hello sir.~2023-10-12T02:04:35.450856900
2023-10-07T18:41:47.218989~2023-10-11T20:38:16.321660500~Hello sir.~2023-10-12T02:06:02.750521200
2023-10-07T21:19:33.278842~2023-10-11T20:38:16.321660500~Hello sir.~2023-10-12T02:07:18.341981
2023-10-07T21:11:48.085543~2023-10-11T20:43:38.663475100~Hello sir.~2023-10-12T02:08:33.399637
2023-10-08T00:13:21.487674~2023-10-07T19:11:19.532874~Hello sir.~2023-10-12T02:10:31.096263100
2023-10-08T00:13:21.487674~2023-10-11T20:38:56.466200100~Hello sir.~2023-10-12T02:10:41.367677200
2023-10-07T21:21:33.611540~2023-10-11T20:43:38.663475100~Hello sir.~2023-10-12T02:12:29.393435
2023-10-07T21:21:33.611540~2023-10-11T20:45:11.448560900~Hello sir.~2023-10-12T02:12:36.352078100
2023-10-07T18:29:40.853816~2023-10-07T19:11:19.532874~Hello sir.~2023-10-12T02:13:34.246843100
2023-10-07T18:29:40.853816~2023-10-11T20:43:38.663475100~Hello sir.~2023-10-12T02:13:48.570897100
2023-10-07T19:03:10.653676~2023-10-07T19:10:40.184989~Hello everyone.~2023-10-12T02:15:16.306118500
2023-10-07T18:51:06.273264~2023-10-11T20:43:38.663475100~Hello everyone.~2023-10-12T02:15:59.448711900
2023-10-07T18:44:25.397154~2023-10-11T20:38:56.466200100~Hello everyone.~2023-10-12T02:17:00.881525900
2023-10-07T18:59:15.036383~2023-10-07T19:10:40.184989~Hello everyone.~2023-10-12T02:17:32.172915300
2023-10-07T18:59:15.036383~2023-10-11T20:43:38.663475100~Hi! everyone.~2023-10-12T02:17:49.760750800
2023-10-07T18:54:21.737712~2023-10-07T19:10:40.184989~Hi! everyone.~2023-10-12T02:19:48.899272900
2023-10-11T15:53:17.615094~2023-10-11T20:38:56.466200100~Hi! everyone.~2023-10-12T02:21:32.262471400
2023-10-11T15:53:17.615094~2023-10-11T20:40:14.503893200~Hi! everyone.~2023-10-12T02:21:39.017207700
2023-10-11T15:53:17.615094~2023-10-11T20:44:26.679350600~Hi! everyone.~2023-10-12T02:21:48.478432
